_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2024,10,A2610,GALDAKAO - UPV/EHU,7677,335,34,476,32,0,0,0,0,4123,461,22,2287,271,8,590,97,0,325,19,1,540,23,1,8,0,1,0,0,0,139,0,36,0,0,0,0,128,17634
2,2024,10,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,4245,195,34,508,6,0,0,0,0,2130,310,40,1013,204,35,237,36,0,101,2,1,320,11,1,4,1,0,0,0,0,92,0,32,3,0,0,0,103,9664
3,2024,10,A3613,BILBAO - UGAO MIRABALLES - OROZKO,21470,507,96,9369,20,0,0,0,0,788,96,71,886,76,3,593,67,0,221,2,2,1332,103,6,13,1,0,7,0,0,1358,0,907,51,0,0,0,420,38465
4,2024,10,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,6559,136,41,2126,19,0,0,0,0,288,40,16,420,19,30,518,9,0,136,1,6,890,7,5,2,0,0,0,0,0,261,0,206,4,0,0,0,113,11852
5,2024,10,A3631,BILBAO - GALDAKAO - LARRABETZU,24475,483,202,7196,12,3,0,0,0,1603,115,1,2331,207,12,1352,35,0,593,42,0,1869,11,12,17,0,0,0,0,0,1022,0,495,16,0,0,0,696,42800
6,2024,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),3951,74,24,1575,19,0,0,0,0,237,19,2,348,23,1,243,18,0,80,0,0,632,33,6,0,0,0,0,0,0,208,0,186,4,0,0,0,133,7816
7,2024,10,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,34126,737,231,14853,17,5,0,0,0,1527,120,65,1583,100,10,914,25,1,530,17,4,1953,66,19,94,0,0,4,0,0,1670,0,866,59,0,0,0,369,59965
8,2024,10,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),13964,354,78,6677,17,4,0,0,0,675,64,6,747,68,3,668,1,0,292,10,4,870,4,13,7,0,0,0,0,0,501,0,444,36,0,0,0,239,25746
9,2024,10,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,40813,1760,555,10193,38,19,0,0,0,3639,522,29,2724,349,142,1313,44,1,521,21,1,1728,40,50,38,5,0,2,0,0,1824,1,583,20,0,0,0,384,67359
10,2024,10,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,39348,1205,482,10184,27,17,0,0,0,2616,339,25,2222,223,67,1468,53,4,587,39,0,1846,14,43,25,2,0,2,0,0,1864,9,566,14,0,0,0,434,63725
11,2024,10,A3913,Arrazola - DURANGO,8377,525,62,2786,1,0,0,0,0,1394,287,11,828,24,98,113,8,0,113,25,0,120,8,14,1,0,0,0,0,0,454,0,236,2,0,0,0,41,15528
12,2024,10,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,28043,671,185,5293,16,0,0,0,0,1910,99,14,2805,196,55,1121,33,0,473,39,1,1825,83,33,8,0,0,0,0,0,1201,0,468,4,0,0,0,405,44981
13,2024,10,A3923,BILBAO - DURANGO - ELORRIO (Autopista),42531,1633,579,7235,99,0,0,0,0,4246,445,65,3420,370,142,1536,89,13,536,19,0,771,46,26,39,2,0,0,0,0,1897,3,431,17,0,0,0,104,66294
14,2024,10,A3924,ERMUA - DURANGO - UPV/EHU,8117,566,91,229,0,0,0,0,0,5474,515,0,1038,81,71,243,67,0,175,8,0,139,26,6,4,0,0,0,0,0,161,0,11,0,0,0,0,56,17078
15,2024,10,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,16787,470,116,4764,2,0,0,0,0,881,69,1,1456,109,29,742,7,0,354,15,0,1063,38,6,81,2,0,1,0,0,670,3,337,1,0,0,0,288,28292
16,2024,10,A3926,BILBAO - ERMUA - EIBAR (Autopista),27588,624,96,2803,6,12,0,0,0,1871,96,53,913,138,30,1618,28,22,537,46,0,1586,145,8,7,0,0,0,0,0,1727,15,410,4,0,0,0,92,40475
17,2024,10,A3927,BILBAO - LEMOA - ZEANURI (Autopista),15336,621,155,2191,15,0,0,0,0,1112,192,15,1998,167,21,687,41,1,246,11,0,896,20,2,9,0,0,0,0,0,638,5,304,6,0,0,0,73,24762
18,2024,10,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1521,12,2,879,0,0,0,0,0,0,5,0,38,0,0,16,0,0,6,0,0,17,0,0,0,0,0,0,0,0,123,0,15,0,0,0,0,5,2639
19,2024,10,A3930,BILBAO - GALDAKAO (Autopista),19216,411,46,4212,31,0,0,0,0,3028,213,2,2985,181,17,1547,30,2,651,57,12,1895,5,0,20,0,0,0,0,0,391,0,183,29,0,0,0,255,35419
20,2024,10,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,68
21,2024,10,A3932,GALDAKAO - Metro Bolueta,32774,729,151,12623,61,19,0,0,0,46,2,0,31,0,1,45,1,0,6,0,0,66,0,0,10,0,0,0,0,0,431,0,855,45,0,0,1,456,48353
22,2024,10,A3933,BILBAO - DURANGO (Autopista),27004,932,205,3965,59,4,0,0,0,4699,512,2,3729,585,63,2668,200,20,351,9,0,1038,86,39,16,5,0,1,0,0,745,3,190,14,0,0,0,137,47281
23,2024,10,A3512,BILBAO - LEKEITIO (Autopista),27554,823,73,5342,28,0,0,1,1,2407,249,0,811,64,1,864,174,30,418,0,0,571,0,0,0,0,0,0,0,0,1434,1,362,13,0,0,0,122,41343
24,2024,10,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,11568,370,10,3918,7,44,0,0,0,889,100,0,563,32,6,274,2,0,112,1,0,253,13,0,0,0,0,0,0,0,756,1,128,6,0,0,0,115,19168
25,2024,10,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,38543,1340,141,6516,54,2,4,4,0,2571,220,1,4768,431,50,2130,111,0,523,11,0,2273,61,0,0,0,0,0,0,0,1205,1,240,19,0,0,0,206,61425
