_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2025,10,A2610,GALDAKAO - UPV/EHU,6451,237,72,417,19,0,0,0,0,5810,782,39,3495,449,37,1372,167,2,398,92,1,508,70,2,23,4,0,0,0,0,77,0,39,0,0,0,0,255,20818
2,2025,10,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,4124,159,4,524,3,0,0,0,0,2660,344,52,1515,198,16,586,73,1,183,26,0,479,20,0,6,0,0,0,0,0,56,0,44,0,1,0,0,150,11224
3,2025,10,A3613,BILBAO - UGAO MIRABALLES - OROZKO,27200,502,47,12946,12,0,0,0,0,998,173,15,1462,61,2,1130,53,0,533,6,0,2504,69,0,90,8,0,2,0,0,1029,1,1040,0,90,0,0,588,50561
4,2025,10,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,7510,140,39,2544,14,0,0,0,0,318,4,0,640,40,0,807,11,0,183,8,0,1195,80,10,2,0,0,0,0,0,212,0,238,0,19,0,0,271,14285
5,2025,10,A3631,BILBAO - GALDAKAO - LARRABETZU,24713,497,104,7791,26,0,0,0,0,1082,85,0,2659,297,3,2000,56,0,861,50,1,2823,110,5,15,0,0,0,0,0,811,2,546,0,22,0,0,681,45240
6,2025,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),4281,58,11,1715,21,0,0,0,0,242,17,0,506,44,0,282,11,0,109,4,0,835,17,4,2,0,0,0,0,0,122,0,219,0,46,0,0,231,8777
7,2025,10,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,35932,592,71,17013,60,1,0,0,0,1419,239,6,1869,84,0,1652,118,1,572,9,2,3022,115,2,120,0,0,4,0,0,1451,6,995,0,43,0,0,441,65839
8,2025,10,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),13491,297,51,7449,29,0,0,0,0,716,72,0,639,24,0,1062,22,0,225,38,5,1143,17,6,0,0,0,0,0,0,420,0,457,0,19,0,0,250,26432
9,2025,10,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,40232,1337,330,11335,59,3,0,0,0,3412,343,67,2855,155,164,2040,129,4,803,79,15,2432,77,39,66,7,0,3,0,0,1359,5,726,0,30,0,0,375,68481
10,2025,10,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,38144,964,203,10593,41,4,0,0,0,2134,230,46,2556,209,53,2224,121,33,881,15,19,2900,109,35,66,1,0,1,0,0,1555,2,634,0,23,0,0,437,64233
11,2025,10,A3913,Arrazola - DURANGO,8379,208,34,3069,13,0,0,0,0,1125,188,0,637,6,93,283,28,0,233,35,0,253,2,0,16,3,0,0,0,0,299,0,298,0,4,0,0,34,15240
12,2025,10,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,27698,562,66,5575,14,0,0,0,0,1514,117,0,3297,166,20,1614,102,1,582,4,1,2993,36,39,29,2,0,2,0,0,930,2,477,0,6,0,0,443,46292
13,2025,10,A3923,BILBAO - DURANGO - ELORRIO (Autopista),43367,1512,425,7935,19,0,0,0,0,4218,303,94,3108,352,99,2037,72,0,671,24,4,1741,167,2,106,7,0,0,0,0,1421,3,456,0,26,0,0,97,68266
14,2025,10,A3924,ERMUA - DURANGO - UPV/EHU,8006,562,25,225,1,0,0,0,0,5237,615,2,959,102,43,705,294,0,200,24,13,128,13,0,1,0,0,0,0,0,103,0,25,0,0,0,0,29,17312
