_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
200,2023,3,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,35867,934,278,9480,59,27,0,0,0,2052,181,21,1222,132,19,1895,1,491,12,0,0,433,53104
201,2023,3,A3913,Arrazola - DURANGO,6754,227,114,2375,0,0,0,0,0,1089,113,13,384,59,88,336,0,153,1,0,0,61,11767
202,2023,3,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,25949,721,210,4975,31,2,0,0,0,1447,71,23,2030,139,168,986,0,390,7,0,0,344,37493
203,2023,3,A3923,BILBAO - DURANGO - ELORRIO (Autopista),38807,1527,385,6627,56,3,0,0,0,3976,566,122,2126,300,133,1741,10,366,12,0,0,142,56899
204,2023,3,A3924,ERMUA - DURANGO - UPV/EHU,7703,544,73,250,1,0,0,0,0,4711,499,74,546,30,0,127,0,5,0,0,0,33,14596
205,2023,3,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,17018,391,71,4203,20,1,0,1,0,720,66,6,1021,30,118,647,0,251,6,0,0,278,24848
206,2023,3,A3926,BILBAO - ERMUA - EIBAR (Autopista),27103,686,103,2906,1,33,0,0,0,1844,177,31,742,57,23,1732,15,292,2,0,0,102,35849
207,2023,3,A3927,BILBAO - LEMOA - ZEANURI (Autopista),12638,526,137,1775,19,0,0,0,0,929,70,7,1669,121,77,519,0,213,0,0,0,152,18852
208,2023,3,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1529,7,1,735,1,0,0,0,0,7,0,0,13,1,0,140,0,8,0,0,0,21,2463
209,2023,3,A3930,BILBAO - GALDAKAO (Autopista),21113,335,26,3459,52,0,0,0,0,3538,303,5,2109,119,39,423,0,176,21,0,0,267,31985
210,2023,3,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,55
211,2023,3,A3932,GALDAKAO - Metro Bolueta,32952,624,139,11542,41,17,0,0,0,12,2,0,25,1,1,438,0,879,33,14468,2,338,61514
212,2023,3,A3933,BILBAO - DURANGO (Autopista),30103,1476,210,4081,35,2,0,0,0,4715,442,1,2623,369,107,732,0,223,15,0,0,123,45257
213,2023,3,A3512,BILBAO - LEKEITIO (Autopista),20113,693,223,3644,21,,,,,2121,310,44,513,13,29,869,0,156,4,0,0,108,28861
214,2023,3,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,8245,325,25,3028,1,7,,,,454,81,1,515,11,,562,0,56,3,0,0,57,13371
215,2023,3,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,26231,888,63,4313,22,,,,,1727,145,15,2400,300,1,738,0,188,6,0,0,200,37237
216,2023,3,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,43717,1337,145,9746,37,1,,,,3302,355,19,2864,415,11,1695,3,366,30,0,0,230,64273
217,2023,3,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,6567,211,4,2089,22,,,,,476,15,,422,16,,479,3,78,2,0,0,29,10413
218,2023,3,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,3781,269,30,119,18,,,,,1641,280,,342,45,,65,0,10,0,0,0,4,6604
219,2023,3,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,2153,43,32,407,,8,,,,29,54,,90,,,103,0,8,0,0,0,52,2979
220,2023,3,A3532,GERNIKA LUMO - NABARNIZ,67,,,11,,,,,,,,,,,,12,0,0,0,0,0,0,90
221,2023,3,A3533,GERNIKA LUMO - MENDATA,20,,,3,,,,,,,,,,,,0,0,0,0,0,0,0,23
222,2023,3,A3534,GERNIKA LUMO - ERRIGOITI,52,1,,7,,,,,,,,,,,,0,0,0,0,0,0,0,60
223,2023,3,A3535,LEKEITIO - AMOROTO,228,,,11,,,,,,,,,,,,6,0,0,0,0,0,0,245
224,2023,3,A3536,LEKEITIO - MENDEXA,70,2,,5,,,,,,,1,,,,,12,0,0,0,0,0,0,90
