_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
208,2023,12,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1222,8,0,682,0,0,0,0,0,0,3,0,58,1,0,99,0,15,0,0,0,12,2100
209,2023,12,A3930,BILBAO - GALDAKAO (Autopista),17918,370,31,3247,9,0,0,0,0,1911,89,2,1361,103,25,359,0,211,15,0,0,219,25870
210,2023,12,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,41
211,2023,12,A3932,GALDAKAO - Metro Bolueta,33403,927,48,11646,67,12,0,0,0,17,2,0,17,1,0,476,0,917,32,10827,0,479,58871
212,2023,12,A3933,BILBAO - DURANGO (Autopista),23738,1029,155,3506,45,3,0,0,3,2287,280,5,1506,205,53,719,2,247,9,0,0,65,33857
213,2023,12,A3512,BILBAO - LEKEITIO (Autopista),25372,982,112,4468,18,,,,,1219,136,19,350,28,1,1309,3,301,5,0,0,166,34489
214,2023,12,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,10106,372,34,3068,30,,,,,375,66,,348,20,,575,0,120,1,0,0,60,15175
215,2023,12,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,35673,1179,163,6067,55,,,,,1534,145,2,2521,205,23,1204,0,331,18,0,0,219,49339
216,2023,12,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,57170,1754,207,12196,103,,,,,2707,250,7,3378,259,12,2237,5,699,13,0,0,303,81300
217,2023,12,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,7971,210,17,2461,38,,,,,369,15,,234,39,1,545,3,79,1,0,0,46,12029
