_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2020,1,A2610,GALDAKAO - UPV/EHU,4924,224,19,341,0,0,0,0,0,1803,138,21,431,21,10,292,0,18,1,0,0,115,8358
2,2020,1,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,2391,98,2,255,0,0,0,0,0,685,62,12,259,43,0,143,0,14,2,0,0,104,4070
3,2020,1,A3613,BILBAO - UGAO MIRABALLES - OROZKO,16755,318,136,10458,21,0,0,0,0,812,105,39,827,16,3,2739,31,642,25,0,0,579,33506
4,2020,1,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,5963,184,71,2579,3,0,0,0,0,191,8,0,169,8,24,922,1,307,1,0,0,185,10616
5,2020,1,A3631,BILBAO - GALDAKAO - LARRABETZU,22186,562,192,6899,6,14,0,0,0,1148,231,49,804,80,57,2507,0,417,12,0,0,760,35924
6,2020,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),2763,68,32,1272,12,0,0,0,0,128,9,58,79,6,24,339,0,101,1,0,0,280,5172
7,2020,1,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,26156,479,248,13992,15,2,0,4,0,1007,129,63,1036,127,36,3991,16,688,29,0,0,389,48407
8,2020,1,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),11343,173,42,6045,5,0,0,0,0,413,106,106,248,18,12,1005,0,277,17,0,0,217,20027
9,2020,1,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,30734,1004,226,10161,45,3,0,0,0,3117,435,102,1370,128,131,4566,1,476,32,0,0,427,52958
10,2020,1,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,30767,710,257,10419,35,5,0,0,0,196,257,30,1333,134,62,5110,14,489,16,0,0,459,50293
11,2020,1,A3913,Arrazola - DURANGO,4179,330,30,2466,1,0,0,0,0,774,111,52,236,7,47,902,4,158,3,0,0,36,9336
12,2020,1,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,20611,504,198,5013,16,0,0,0,0,1419,197,68,1462,154,23,2491,1,369,3,0,0,373,32902
13,2020,1,A3923,BILBAO - DURANGO - ELORRIO (Autopista),30062,1474,360,6946,30,1,0,0,0,222,276,37,1824,255,97,3891,13,370,13,0,0,87,45958
14,2020,1,A3924,ERMUA - DURANGO - UPV/EHU,4037,369,38,121,2,0,0,0,0,1484,162,16,134,24,14,302,0,2,0,0,0,24,6729
15,2020,1,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,13169,354,49,4198,21,0,0,0,0,999,158,27,822,53,11,1773,0,148,4,0,0,262,22048
16,2020,1,A3926,BILBAO - ERMUA - EIBAR (Autopista),19144,567,187,2498,5,21,0,0,0,1286,99,1,354,17,16,2959,46,224,10,0,0,53,27487
319,2020,4,A3533,GERNIKA LUMO - MENDATA,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
17,2020,1,A3927,BILBAO - LEMOA - ZEANURI (Autopista),9349,451,140,1713,10,1,0,0,0,777,85,6,907,171,28,1003,0,236,0,0,0,184,15061
18,2020,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1020,27,0,725,0,0,0,0,0,4,4,0,4,14,1,167,0,20,0,0,0,13,1999
19,2020,1,A3930,BILBAO - GALDAKAO (Autopista),14724,455,6,2166,3,0,0,0,0,1993,117,0,808,126,7,827,0,155,13,0,0,259,21659
20,2020,1,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,21,0,0,0,0,0,68
21,2020,1,A3932,GALDAKAO - Metro Bolueta,33278,732,88,14102,31,1,0,0,0,23,1,0,16,1,0,1358,1,933,59,16986,0,367,67977
22,2020,1,A3933,BILBAO - DURANGO (Autopista),23008,1157,182,3666,21,1,0,0,0,2068,314,32,1509,202,16,1563,4,239,11,0,0,56,34049
23,2020,1,A3512,BILBAO - LEKEITIO (Autopista),18086,918,223,4641,8,35,,,,1083,166,0,416,60,7,2810,5,219,19,0,0,115,28811
24,2020,1,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,7409,197,99,3394,,41,,,,579,70,0,323,15,9,1399,38,106,1,0,0,104,13784
25,2020,1,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,35008,1206,104,6500,28,1,2,,,2080,321,0,1934,291,64,3035,5,246,17,0,0,269,51111
26,2020,1,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,50919,1741,246,12894,58,1,,,,3598,520,40,2647,324,58,6038,5,570,25,0,0,336,80020
27,2020,1,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,5971,185,27,2502,3,13,,,,346,99,1,263,18,12,1076,1,64,7,0,0,34,10622
28,2020,1,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,2527,342,7,70,,,,,,723,38,,116,11,,242,0,1,0,0,0,19,4096
29,2020,1,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,1802,171,6,457,,,,,,37,1,,121,,,364,0,33,0,0,0,8,3000
30,2020,1,A3532,GERNIKA LUMO - NABARNIZ,83,15,,11,,,,,,,,,,,,6,0,0,0,0,0,0,115
31,2020,1,A3533,GERNIKA LUMO - MENDATA,30,,,1,,,,,,,,,,,,2,0,0,0,0,0,0,33
32,2020,1,A3534,GERNIKA LUMO - ERRIGOITI,27,3,,5,,,,,,,,,,,,0,0,0,0,0,0,0,35
33,2020,1,A3535,LEKEITIO - AMOROTO,113,8,,7,,,,,,,,,,,,7,0,0,0,0,0,0,135
34,2020,1,A3536,LEKEITIO - MENDEXA,87,1,,45,,,,,,1,,,,,,8,0,0,0,0,0,0,142
35,2020,1,A3538,LEKEITIO-Barainka,6,,,2,,,,,,,,,,,,2,0,0,0,0,0,0,10
36,2020,1,A3915,BILBAO - DURANGO - ONDARROA (Autopista),26607,1043,238,10498,20,51,,,,1456,266,40,685,23,29,5813,8,458,15,0,0,183,47433
320,2020,4,A3534,GERNIKA LUMO - ERRIGOITI,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
37,2020,1,A3916,BILBAO - ERMUA - ONDARROA (Autopista),17583,626,120,3936,19,7,,,,1790,266,54,413,33,32,3071,13,294,6,0,0,79,28342
38,2020,1,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,179,,,89,,,,,,,,,,,,15,0,0,0,0,0,0,283
