_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2025,7,A2610,GALDAKAO - UPV/EHU,1146,25,9,125,1,0,0,0,0,120,1,0,49,9,0,145,5,0,49,0,0,90,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,12,1815
2,2025,7,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2025,7,A3613,BILBAO - UGAO MIRABALLES - OROZKO,22870,409,24,10470,15,0,0,0,3,380,80,0,771,22,0,831,39,0,343,2,0,2037,56,2,53,4,0,5,0,0,944,0,1109,71,0,0,0,387,40927
4,2025,7,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,8423,146,49,2330,25,0,0,0,9,155,6,0,362,10,2,735,25,0,209,0,0,1032,35,7,1,0,0,0,0,0,305,0,325,4,0,0,0,155,14350
5,2025,7,A3631,BILBAO - GALDAKAO - LARRABETZU,16824,233,69,5396,17,2,0,0,2,465,35,0,993,121,1,896,32,0,532,48,1,2005,46,1,10,0,0,0,0,0,691,0,504,6,0,0,0,369,29299
6,2025,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),3672,72,7,1491,28,0,0,0,0,73,0,0,287,10,0,242,24,0,63,2,0,796,21,3,0,0,0,1,0,0,125,0,236,9,0,0,0,167,7329
7,2025,7,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,30208,405,83,13107,33,0,0,0,0,522,57,0,1110,64,3,1165,28,0,356,17,0,2518,58,7,45,4,0,4,0,0,1181,0,845,33,0,0,0,270,52123
8,2025,7,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),10402,153,42,5288,20,3,0,0,0,256,23,0,316,7,2,658,6,0,246,1,0,866,23,4,1,0,0,0,0,0,335,0,295,17,0,0,0,198,19162
9,2025,7,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,35239,1028,301,9258,64,2,0,0,0,844,98,1,1410,75,140,1390,91,16,655,53,0,1923,18,19,66,0,0,0,0,0,1452,1,847,28,0,0,0,317,55336
10,2025,7,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,35702,838,152,8998,52,2,1,0,0,799,100,0,1369,68,41,1809,41,2,485,23,10,2347,36,17,64,0,0,0,0,0,1727,4,697,31,0,0,0,267,55682
11,2025,7,A3913,Arrazola - DURANGO,7602,180,53,2751,1,0,0,0,0,240,18,0,184,16,57,243,10,7,90,10,0,150,0,0,14,0,0,0,0,0,333,0,265,9,0,0,0,28,12261
12,2025,7,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,26331,589,99,4828,29,0,0,0,0,565,54,0,1869,63,16,1499,48,2,514,15,1,2440,34,30,20,1,0,0,0,0,954,1,662,2,0,0,0,383,41049
13,2025,7,A3923,BILBAO - DURANGO - ELORRIO (Autopista),37885,1149,433,6887,30,4,0,0,0,1066,72,0,649,53,61,1188,55,1,457,43,0,1021,55,14,61,2,0,0,0,0,1546,8,628,26,0,0,0,73,53467
14,2025,7,A3924,ERMUA - DURANGO - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2025,7,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,16770,365,45,4116,9,0,0,0,0,282,74,0,803,51,4,899,11,0,336,3,0,1358,19,25,71,14,0,0,0,0,606,0,395,4,0,0,0,267,26527
16,2025,7,A3926,BILBAO - ERMUA - EIBAR (Autopista),26264,402,92,2395,11,7,0,0,0,457,11,4,213,20,0,1208,1,48,248,0,0,611,37,3,9,1,0,0,0,0,1682,7,627,17,0,0,0,94,34469
17,2025,7,A3927,BILBAO - LEMOA - ZEANURI (Autopista),12132,339,69,1913,16,0,0,0,0,284,8,0,756,48,11,439,9,0,132,0,0,986,12,7,19,1,0,2,0,0,515,0,413,1,0,0,0,88,18200
18,2025,7,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,1071,17,0,748,0,0,0,0,0,1,0,0,47,0,0,48,0,0,20,0,0,51,1,0,7,0,0,0,0,0,96,0,55,1,0,0,0,21,2184
19,2025,7,A3930,BILBAO - GALDAKAO (Autopista),15746,296,6,3461,20,0,2,0,0,489,17,0,739,14,2,1164,40,0,506,11,0,1766,16,1,25,1,0,0,0,0,347,0,244,24,0,0,0,197,25134
20,2025,7,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,47
