_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
176,2024,5,A3224,BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,8317,186,6,1512,1,0,0,0,0,465,22,2,503,45,1,606,4,0,209,36,0,525,4,0,232,0,70,2,0,0,264,13012
177,2024,5,A3225,BILBAO - LAUKIZ - MUNGIA,3594,135,12,503,3,0,0,0,0,80,24,2,839,27,0,120,0,0,46,0,0,399,0,7,133,0,89,2,0,0,71,6086
178,2024,5,A3247,BILBAO-Aireportua/Aeropuerto,49114,613,58,6834,13,0,16,28,55,524,12,21,477,17,44,1231,58,6,225,36,1,1268,10,4,57650,19,999,39,0,0,239,119611
179,2024,5,A3250,BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),16599,439,2,802,17,0,0,0,0,868,59,0,1423,91,0,1277,2,0,563,0,0,1219,31,27,263,0,2,0,0,0,65,23749
180,2024,5,A3516,BILBAO - MUNGIA (Por autopista/tik),19757,616,145,2952,17,7,0,0,1,1048,104,6,1686,168,51,866,35,0,130,9,0,912,7,18,624,0,160,4,0,0,286,29609
181,2024,5,A3517,BILBAO - DERIO - MUNGIA,34293,1016,266,5789,39,0,0,0,2,1806,236,29,2901,484,42,1187,101,0,674,0,0,2931,10,20,1555,0,375,5,0,0,477,54238
182,2024,5,A3518,BILBAO - MUNGIA - BAKIO (Por la autopista/tik),36496,1183,148,5881,35,7,2,8,29,1540,275,10,2361,281,37,1300,30,0,364,10,0,1652,30,23,2577,0,356,15,0,0,370,55020
183,2024,5,A3522,MUNGIA-DERIO-Gurutzeta/Cruces,9728,154,78,2054,9,0,0,0,0,363,27,0,809,79,1,517,1,0,117,0,0,848,8,8,299,0,171,5,0,0,110,15386
184,2024,5,A3524,BERMEO - BAKIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,1121
185,2024,5,A3527,BILBAO - MUNGIA - BERMEO (Por la autopista/tik),62153,2185,299,9796,76,17,0,0,2,4771,351,22,4696,391,88,2961,80,0,531,33,0,2679,35,21,2130,0,581,13,0,0,725,94636
186,2024,5,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,4046,310,68,323,4,0,0,0,0,667,120,0,308,104,21,79,0,0,10,0,0,71,0,7,112,0,5,1,0,0,38,6294
187,2024,5,A3529,MUNGIA - GAMIZ - FIKA,630,28,0,85,0,0,0,0,0,2,1,0,25,0,0,3,0,0,0,0,0,146,0,0,21,0,1,0,0,0,7,949
188,2024,5,A3530,MUNGIA - MEÃAKA - ARRIETA,324,19,0,81,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,37,0,0,24,0,0,0,0,0,1,496
189,2024,5,A3531,LEIOA-Hospital Urduliz Ospitalea - GATIKA -MUNGIA,10756,435,33,3457,20,7,0,0,0,519,181,12,1221,59,16,312,37,0,87,2,0,675,12,2,537,0,548,11,0,0,160,19099
190,2024,5,A3537,PLENTZIA-GORLIZ-MUNGIA,4635,169,9,1100,11,10,0,0,1,244,14,0,600,21,1,39,5,0,55,2,0,247,3,6,204,0,120,26,0,0,67,7589
191,2024,6,A2610,GALDAKAO - UPV/EHU,4646,150,35,387,0,0,0,0,0,496,52,0,278,14,0,298,10,2,110,2,0,163,1,0,67,0,68,0,0,0,68,6847
192,2024,6,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,115,2,0,5,0,0,0,0,0,13,0,0,15,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
193,2024,6,A3613,BILBAO - UGAO MIRABALLES - OROZKO,20926,388,109,9420,14,0,0,0,0,614,38,20,717,68,15,516,22,0,188,16,6,1158,22,3,1334,3,965,35,0,0,477,37074
194,2024,6,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,6900,122,41,2054,12,0,0,0,0,204,23,3,317,16,29,424,10,0,121,1,0,645,7,5,341,0,298,7,0,0,131,11711
195,2024,6,A3631,BILBAO - GALDAKAO - LARRABETZU,23085,542,118,6504,3,4,0,0,0,870,55,3,1208,116,2,1252,62,0,470,33,0,1245,9,4,1130,2,598,18,0,0,660,37993
196,2024,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4262,67,25,1593,2,0,0,0,0,156,1,4,237,11,12,209,24,1,77,1,1,605,6,7,196,1,198,9,0,0,172,7877
197,2024,6,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,30755,597,205,13956,16,0,0,0,0,782,24,54,1213,78,6,1044,48,3,307,7,14,1372,40,4,1595,3,1001,39,0,1,339,53503
