_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2021,1,A2610,GALDAKAO - UPV/EHU,4495,200,23,158,0,0,0,0,0,808,87,15,142,20,0,37,0,11,0,0,0,75,6071
2,2021,1,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,1850,50,5,122,0,0,0,0,0,298,19,0,121,8,0,24,0,12,5,0,0,70,2584
3,2021,1,A3613,BILBAO - UGAO MIRABALLES - OROZKO,14039,269,87,4681,6,0,0,0,0,698,62,70,310,16,3,672,2,356,5,0,0,362,21638
4,2021,1,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,5023,135,40,1523,3,0,0,0,0,225,16,1,132,26,10,205,0,137,0,0,0,91,7567
5,2021,1,A3631,BILBAO - GALDAKAO - LARRABETZU,15927,361,61,3589,0,6,0,0,0,926,157,28,671,95,2,386,0,119,4,0,0,527,22859
6,2021,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),2293,41,26,614,5,0,0,0,0,187,1,63,46,16,0,71,0,75,2,0,0,128,3568
7,2021,1,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,19228,459,155,6512,12,3,0,0,0,851,38,87,458,8,2,748,3,241,6,0,0,203,29014
8,2021,1,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),8550,137,28,2631,1,0,0,0,0,459,36,75,143,0,0,165,0,139,1,0,0,103,12468
9,2021,1,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,23233,706,291,4020,19,3,0,0,0,1890,303,73,882,77,45,665,0,119,2,0,0,211,32539
10,2021,1,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,22541,408,180,3917,11,2,0,0,0,1712,199,36,601,95,17,856,1,105,5,0,0,251,30937
