_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
153,2024,2,A3336,BILBAO - MUSKIZ,45487,1225,156,13790,55,3,,,,2963,291,0,2619,210,35,1087,43,1,410,9,15,1172,40,1,2948,7,1734,94,0,0,2095,76490
154,2024,2,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,36618,955,60,11337,24,6,,,,2269,341,21,1853,158,10,1222,30,9,410,28,8,944,27,4,1942,1,937,32,0,0,1066,60312
155,2024,2,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
156,2024,2,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),12308,390,4,2887,1,,,,,802,154,,788,166,,231,25,,14,11,,200,23,,409,1,171,6,0,0,747,19338
157,2024,2,A3521,BILBAO - Hospital Santa Marina Ospitalea,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
158,2024,2,A0651,BILBAO - BALMASEDA,45630,1715,381,11164,172,0,0,0,4,2623,343,41,6476,975,162,996,50,0,370,28,0,1448,6,0,1916,17,533,21,0,0,865,75936
159,2024,2,A0652,LANESTOSA - BALMASEDA,2993,35,1,1042,2,0,0,0,0,72,5,0,18,2,0,0,0,0,0,0,0,14,0,0,731,0,97,0,0,0,19,5031
160,2024,2,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,247,0,2,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,5,2,0,0,0,1139
161,2024,2,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,5726,137,19,1884,37,3,0,0,0,577,36,16,619,92,0,173,17,0,42,0,0,43,0,0,252,0,84,13,0,0,130,9900
162,2024,2,A3323,PORTUGALETE - GALDAMES,2992,93,5,1034,1,1,0,0,0,99,24,0,130,1,1,26,0,0,6,10,0,20,0,1,179,0,27,3,0,0,76,4729
