_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
149,2025,5,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,3910,48,0,1965,2,0,0,0,0,88,3,1,245,5,0,148,2,0,29,0,0,360,13,0,0,0,0,0,0,0,127,0,108,9,0,0,0,104,7167
219,2025,6,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,13973,863,24,2303,2,1,4,2,0,33,6,0,137,38,0,68,0,0,1,0,0,160,4,0,71,0,0,1,0,0,573,1,170,2,0,0,0,56,18493
150,2025,5,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,19581,325,22,7093,3,2,6,0,2,1152,37,14,1917,55,0,767,42,0,463,22,0,2376,157,0,0,0,0,0,0,0,555,0,581,23,0,0,0,627,35822
151,2025,5,A3333,Gallarta - SANTURTZI,36977,932,108,14037,18,7,0,0,0,2151,150,3,2992,356,9,1411,12,2,781,28,0,3168,31,0,9,0,0,0,0,0,1928,7,1116,56,0,0,0,1228,67517
152,2025,5,A3335,MUSKIZ - ZIERBENA - SESTAO,17343,306,137,7321,12,2,0,0,0,798,50,4,985,43,7,266,20,2,165,0,0,924,54,0,7,0,0,0,0,0,1154,4,575,38,0,0,0,658,30875
153,2025,5,A3336,BILBAO - MUSKIZ,53650,1341,144,16180,22,6,3,4,0,2830,192,8,4450,358,44,2143,40,1,924,49,0,4418,98,15,37,0,0,0,0,0,2536,0,1905,149,0,0,0,2288,93835
154,2025,5,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,43067,1036,114,12553,18,2,0,13,0,2665,300,3,2880,205,37,2182,105,0,967,38,0,3511,56,5,15,0,0,0,0,0,1558,6,1178,59,0,0,0,1011,73584
155,2025,5,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2025,5,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),15092,430,1,3475,4,0,0,0,0,709,67,0,1026,99,7,555,5,0,150,37,0,604,56,0,4,0,0,0,0,0,468,3,117,22,0,0,0,595,23526
157,2025,5,A3521,BILBAO - Hospital Santa Marina Ospitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
