_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2020,7,A2610,GALDAKAO - UPV/EHU,864,4,1,51,0,0,0,0,0,30,0,0,5,0,0,0,0,2,0,0,0,0,957
2,2020,7,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020,7,A3613,BILBAO - UGAO MIRABALLES - OROZKO,14240,274,73,6329,10,0,0,0,0,217,28,0,278,2,4,0,0,183,9,0,0,146,21793
4,2020,7,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,5369,108,40,1757,2,0,1,0,0,117,0,0,92,22,3,0,0,144,2,0,0,56,7713
5,2020,7,A3631,BILBAO - GALDAKAO - LARRABETZU,13688,348,20,3632,0,0,0,0,0,164,8,33,275,17,2,0,0,205,8,0,0,233,18633
6,2020,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),2548,18,51,695,1,0,0,0,0,79,1,1,54,35,0,0,0,41,1,0,0,119,3644
7,2020,7,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,19641,296,140,7395,20,1,1,0,0,511,6,15,403,13,2,0,0,278,10,0,0,119,28851
8,2020,7,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),7650,144,53,3026,3,0,0,0,0,162,0,76,154,3,0,0,0,88,2,0,0,67,11428
9,2020,7,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,25664,756,146,5341,10,0,0,0,0,490,10,19,1071,7,31,0,0,134,7,0,0,128,33814
10,2020,7,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,25838,439,204,5575,19,3,0,0,0,423,11,33,930,13,16,0,0,109,2,0,0,91,33706
11,2020,7,A3913,Arrazola - DURANGO,4136,226,25,1833,2,0,0,0,0,31,0,45,36,0,1,0,0,96,0,0,0,9,6440
12,2020,7,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,17990,433,153,2581,3,1,0,0,0,329,18,50,381,56,17,0,0,185,1,0,0,136,22334
13,2020,7,A3923,BILBAO - DURANGO - ELORRIO (Autopista),23181,1077,277,3546,8,0,0,0,0,605,0,1,342,0,30,0,0,129,2,0,0,20,29218
14,2020,7,A3924,ERMUA - DURANGO - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020,7,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,11463,341,53,2422,1,0,0,0,0,229,28,43,180,10,15,0,0,64,3,0,0,123,14975
16,2020,7,A3926,BILBAO - ERMUA - EIBAR (Autopista),13536,298,103,1263,1,9,0,0,0,136,48,8,65,0,0,0,0,95,1,0,0,11,15574
17,2020,7,A3927,BILBAO - LEMOA - ZEANURI (Autopista),7747,214,116,1039,16,2,0,0,0,167,1,1,318,14,6,0,0,90,0,0,0,38,9769
18,2020,7,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,911,19,0,385,2,0,0,0,0,1,0,0,0,8,0,0,0,10,0,0,0,21,1357
19,2020,7,A3930,BILBAO - GALDAKAO (Autopista),10187,169,11,1062,1,0,0,0,0,278,1,2,215,29,0,0,0,37,0,0,0,47,12039
20,2020,7,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,50
21,2020,7,A3932,GALDAKAO - Metro Bolueta,22726,478,91,6243,36,0,0,0,0,28,2,0,41,5,0,0,0,299,27,7464,0,148,37588
22,2020,7,A3933,BILBAO - DURANGO (Autopista),15795,650,172,1884,18,1,0,0,0,328,0,0,233,1,34,0,0,78,2,0,0,7,19203
23,2020,7,A3512,BILBAO - LEKEITIO (Autopista),25845,1294,238,3602,15,,,,,303,15,0,42,2,4,0,0,106,7,0,0,95,31568
24,2020,7,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,11051,548,23,2422,,2,,6,,70,1,0,89,1,,0,0,26,3,0,0,28,14270
25,2020,7,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,24685,746,129,3303,13,,,,,457,139,0,865,30,,0,0,107,2,0,0,66,30542
26,2020,7,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,47360,1527,248,8500,21,,,,,900,79,44,1257,41,65,0,0,281,11,0,0,120,60454
27,2020,7,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,6159,194,13,1446,,,,,,131,5,1,62,2,9,0,0,26,0,0,0,21,8069
28,2020,7,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
29,2020,7,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,18128,1255,105,2696,7,4,,6,,78,0,0,22,,,0,0,174,4,0,0,65,22544
30,2020,7,A3532,GERNIKA LUMO - NABARNIZ,115,1,1,8,,,,,,,,,,,,0,0,0,0,0,0,0,125
31,2020,7,A3533,GERNIKA LUMO - MENDATA,25,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,26
32,2020,7,A3534,GERNIKA LUMO - ERRIGOITI,35,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,37
33,2020,7,A3535,LEKEITIO - AMOROTO,84,3,,14,,,,,,,,,,,,0,0,0,0,0,0,0,101
34,2020,7,A3536,LEKEITIO - MENDEXA,278,4,,81,,,,,,,,,,,,0,0,0,0,0,0,0,363
35,2020,7,A3538,LEKEITIO-Barainka,14,,,23,,,,,,,,,,,,0,0,0,0,0,0,0,37
36,2020,7,A3915,BILBAO - DURANGO - ONDARROA (Autopista),24047,810,211,6392,3,3,,,,443,19,4,195,20,10,0,0,167,3,0,0,66,32393
37,2020,7,A3916,BILBAO - ERMUA - ONDARROA (Autopista),15921,533,120,3276,7,3,2,,,230,56,3,184,0,,0,0,97,2,0,0,35,20469
38,2020,7,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,179,4,,46,,,,,,,,,,,,0,0,0,0,0,0,0,229
39,2020,7,A2312,Zabalburu - UPV/EHU  (Juan de Garay),,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
40,2020,7,A2314,BILBAO - Erandiogoikoa - UPV/EHU,4408,108,8,309,,,,,,153,30,,40,25,,0,0,63,0,0,0,69,5213
41,2020,7,A2318,Termibus - UPV/EHU (Autopista),4614,192,8,13,,,,,,196,5,,63,1,7,0,0,9,0,0,0,8,5116
42,2020,7,A2321,Santutxu - UPV/EHU (Autopista),,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
43,2020,7,A2324,BILBAO - UPV/EHU (Enekuri),,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
44,2020,7,A3115,BILBAO - SANTURTZI,25227,437,85,7477,9,2,,,,384,63,2,703,20,5,0,0,722,27,0,0,1150,36313
45,2020,7,A3122,BILBAO - SESTAO - Errepelega/Repelega,11057,231,76,2336,8,2,,,,122,9,4,153,26,1,0,0,624,47,0,0,340,15036
46,2020,7,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,44205,1049,250,12989,30,19,,,,951,102,7,832,134,37,0,0,1336,52,0,0,1668,63661
47,2020,7,A3135,SESTAO - Cabieces,21469,313,36,8627,12,2,,,,241,26,,325,11,18,0,0,707,29,0,0,775,32591
48,2020,7,A3136,BILBAO - BARAKALDO - SANTURTZI,42863,953,177,11123,58,8,,2,,806,97,4,1233,106,64,0,0,1233,39,0,0,1491,60257
49,2020,7,A3137,BILBAO - BARAKALDO,16619,268,62,3881,8,1,,2,,194,2,,312,27,2,0,0,521,22,0,0,740,22661
50,2020,7,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,15611,394,29,5943,23,6,,,,277,20,,252,8,3,0,0,368,17,0,0,685,23636
51,2020,7,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),28898,666,187,4449,23,3,,,,854,29,,623,51,14,0,0,603,22,0,0,728,37150
52,2020,7,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),11857,312,28,1201,1,,,,,162,6,5,15,,10,0,0,85,9,0,0,366,14057
53,2020,7,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,24499,775,60,6698,4,2,2,,2,289,87,4,432,72,15,0,0,409,4,0,0,345,33699
54,2020,7,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,3007,54,1,1406,,,,,,64,1,,32,18,,0,0,116,0,0,0,116,4815
55,2020,7,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,12331,251,15,3563,9,5,,,,220,12,,238,22,10,0,0,228,2,0,0,268,17174
56,2020,7,A3333,Gallarta - SANTURTZI,22185,471,105,7594,4,1,,,,495,36,40,320,142,17,241,0,300,18,0,0,539,32508
57,2020,7,A3335,MUSKIZ - ZIERBENA - SESTAO,17412,405,27,6783,2,5,,,,181,7,1,316,6,2,6,0,538,7,0,0,389,26087
58,2020,7,A3336,BILBAO - MUSKIZ,37196,987,160,10297,31,4,,,,554,114,8,600,87,19,0,0,715,19,0,0,1240,52031
59,2020,7,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,30355,777,102,9068,15,3,1,,4,734,37,3,850,143,15,0,0,675,16,0,0,571,43369
60,2020,7,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,10243,307,43,2420,3,,2,,,32,,,64,,,0,0,522,0,0,0,301,13937
166,2020,8,A3342,BILBAO - Sodupe - ARTZINIEGA,9448,287,100,2512,0,5,0,0,0,104,8,0,253,7,5,0,0,151,1,0,0,124,13005
61,2020,7,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),7956,254,32,1761,8,2,1,,2,225,12,17,215,90,122,0,0,66,3,0,0,348,11114
62,2020,7,A3521,BILBAO - Hospital Santa Marina Ospitalea,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
63,2020,7,A0651,BILBAO - BALMASEDA,30707,969,315,6035,38,46,0,0,0,300,138,11,914,75,3,0,0,377,8,0,0,219,40155
64,2020,7,A0652,LANESTOSA - BALMASEDA,2236,39,0,542,26,1,0,0,0,0,0,0,0,0,0,177,0,62,3,0,0,60,3146
65,2020,7,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,169,0,0,113,0,0,0,0,0,0,0,0,0,0,0,162,0,2,0,0,0,3,449
66,2020,7,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2612,53,24,1087,1,3,0,0,0,47,5,0,25,3,0,0,0,26,3,0,0,15,3904
67,2020,7,A3323,PORTUGALETE - GALDAMES,2187,30,0,797,0,0,0,0,0,14,0,0,20,0,3,0,0,16,0,0,0,33,3100
68,2020,7,A3334,SANTURTZI - BALMASEDA,2972,46,9,823,0,0,0,0,0,14,0,0,41,0,0,2,0,21,0,0,0,8,3936
69,2020,7,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,2101,24,54,891,0,0,0,0,0,72,1,0,80,0,5,0,0,29,1,0,0,19,3277
70,2020,7,A3342,BILBAO - Sodupe - ARTZINIEGA,11103,372,76,2949,2,5,0,0,0,180,10,0,297,10,9,0,0,148,2,0,0,124,15287
71,2020,7,A3343,BILBAO - Sodupe - GORDEXOLA,2012,14,3,873,0,0,0,0,0,38,1,0,76,0,0,0,0,31,0,0,0,20,3068
72,2020,7,A2151,Areeta/Las Arenas-LARRABETZU,7855,341,27,1500,11,,,,,206,23,,283,121,,0,0,57,1,,,38,10463
73,2020,7,A2153,BILBAO-LOIU-Lauroeta-DERIO,6367,324,9,798,6,,,,,116,5,,2771,7,,0,0,15,0,,,29,10447
74,2020,7,A2161,Bizkaia Zubia/Puente Bizkaia-UPV/EHU,5878,167,30,1701,19,,,,,100,1,,125,12,2,0,0,93,1,,,58,8187
75,2020,7,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),,,,,,,,,,,,,,,,,,,,,,,0
76,2020,7,A2163,ERANDIO-UPV/EHU,,,,,,,,,,,,,,,,,,,,,,,0
77,2020,7,A2164,Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),,,,,,,,,,,,,,,,,,,,,,,0
78,2020,7,A2166,URIBE KOSTA - UPV/EHU,,,,,,,,,,,,,,,,,,,,,,,0
79,2020,7,A2322,BILBAO-ERANDIO-Astrabudua-UPV/EHU,5357,129,4,1246,4,,,,,174,4,,235,2,34,0,0,59,1,,,168,7417
80,2020,7,A3223,BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),7608,325,19,949,13,,,,,220,19,,109,87,1,0,0,64,0,,,37,9451
81,2020,7,A3224,BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,5026,131,6,979,4,,,,,117,9,,113,35,1,0,0,33,1,,,47,6502
82,2020,7,A3225,BILBAO-LAUKIZ,2832,154,7,359,,,,,,14,21,,697,7,,0,0,19,0,,,37,4147
83,2020,7,A3247,BILBAO-Aireportua/Aeropuerto,14839,344,17,743,6,,6,,2,42,3,,42,2,,7452,0,164,3,,,87,23752
