_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2022,1,A2610,GALDAKAO - UPV/EHU,4323,180,31,172,2,0,0,0,0,1322,99,5,306,46,0,187,0,7,1,0,0,99,6780
2,2022,1,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,2084,73,11,190,0,0,0,0,0,492,56,5,197,32,0,105,0,8,0,0,0,77,3330
3,2022,1,A3613,BILBAO - UGAO MIRABALLES - OROZKO,13632,314,145,6625,19,0,0,0,0,639,60,26,590,59,4,1578,9,554,11,0,0,426,24691
4,2022,1,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,4830,94,49,1713,4,1,0,6,0,210,2,1,110,77,1,448,0,161,3,0,0,94,7804
5,2022,1,A3631,BILBAO - GALDAKAO - LARRABETZU,16380,346,95,4501,8,6,0,0,0,1350,175,29,708,43,0,1194,2,376,13,0,0,451,25677
6,2022,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),2158,28,28,890,3,0,0,0,0,209,4,40,100,3,1,192,1,47,3,0,0,131,3838
7,2022,1,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,22674,507,201,9256,27,3,0,0,0,1176,75,50,660,92,2,2164,4,421,23,0,2,245,37582
8,2022,1,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),10059,159,52,3889,12,1,0,0,0,490,31,22,227,7,0,614,1,216,7,0,0,105,15892
9,2022,1,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,24073,726,242,6074,18,2,0,0,0,2511,377,22,1099,145,55,2420,2,301,10,0,0,238,38315
10,2022,1,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,22506,562,232,5876,19,18,0,0,0,1720,237,31,795,126,30,2611,2,335,5,0,0,294,35399
11,2022,1,A3913,Arrazola - DURANGO,4083,176,94,1519,0,0,0,0,0,784,96,2,233,25,47,505,0,101,1,0,0,39,7705
12,2022,1,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,16295,421,211,3125,9,1,0,0,0,1103,105,18,1134,41,102,1558,4,242,2,0,0,240,24611
13,2022,1,A3923,BILBAO - DURANGO - ELORRIO (Autopista),23198,1126,181,3914,15,0,0,0,0,2158,341,18,1119,191,68,2220,13,248,4,0,0,56,34870
14,2022,1,A3924,ERMUA - DURANGO - UPV/EHU,3411,328,66,55,0,0,0,0,0,1142,114,22,153,0,1,223,2,0,0,0,0,12,5529
15,2022,1,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,10367,273,74,2405,13,0,0,0,0,661,42,12,626,22,48,949,4,166,0,0,0,190,15852
16,2022,1,A3926,BILBAO - ERMUA - EIBAR (Autopista),15542,426,151,1461,1,23,0,0,0,823,117,10,323,39,0,1616,34,180,13,0,0,57,20816
126,2022,2,A3533,GERNIKA LUMO - MENDATA,58,,,2,,,,,,,,,,,,4,0,0,0,0,0,0,64
17,2022,1,A3927,BILBAO - LEMOA - ZEANURI (Autopista),7042,371,118,1067,38,0,0,0,0,744,113,0,633,89,44,637,1,105,7,0,0,65,11074
18,2022,1,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,652,8,1,343,0,0,0,0,0,2,0,0,66,0,0,74,0,10,1,0,0,5,1162
19,2022,1,A3930,BILBAO - GALDAKAO (Autopista),11869,313,21,1600,8,0,0,0,0,1330,81,1,752,65,19,402,0,90,12,0,0,165,16728
20,2022,1,A3931,GARAI - DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,46
21,2022,1,A3932,GALDAKAO - Metro Bolueta,22436,725,175,7655,68,49,0,0,0,10,6,0,3,4,0,493,0,516,17,10790,0,311,43258
22,2022,1,A3933,BILBAO - DURANGO (Autopista),17228,938,115,2362,6,0,0,0,0,1975,196,7,908,180,2,763,5,116,3,0,0,42,24846
23,2022,1,A3512,BILBAO - LEKEITIO (Autopista),14839,669,184,2737,6,,1,,,1772,195,52,281,57,16,1424,0,104,8,0,0,83,22428
24,2022,1,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,7266,235,15,2284,2,24,,,,341,29,,134,6,13,720,0,37,2,0,0,61,11169
25,2022,1,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,26059,922,136,3915,14,,,,3,1596,150,3,1339,210,16,1319,10,189,7,0,0,210,36098
