_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2025,1,A2610,GALDAKAO - UPV/EHU,5282,229,30,415,12,0,0,0,0,1471,155,13,811,90,7,489,48,0,206,12,1,284,31,0,10,1,0,0,0,0,79,0,18,0,0,0,0,84,9778
2,2025,1,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,2485,116,18,354,3,0,0,0,0,652,91,18,433,55,0,178,22,0,88,1,0,211,17,0,4,0,0,0,0,0,52,0,50,1,0,0,0,62,4911
3,2025,1,A3613,BILBAO - UGAO MIRABALLES - OROZKO,19725,352,64,9286,25,0,0,0,0,682,125,17,651,37,0,601,54,3,316,13,0,1194,69,5,24,0,0,0,0,0,1241,0,931,50,0,0,0,470,35935
4,2025,1,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,7079,189,32,2092,9,0,0,0,0,306,16,5,488,12,0,536,10,2,290,5,0,917,73,0,2,0,0,0,0,0,330,1,224,6,0,0,0,145,12769
5,2025,1,A3631,BILBAO - GALDAKAO - LARRABETZU,22548,496,166,6567,17,1,0,0,0,1074,93,1,1895,180,25,1324,45,0,517,41,8,1862,56,3,4,0,0,0,0,0,837,0,503,7,0,0,0,634,38904
6,2025,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),3570,62,30,1624,29,0,0,0,0,245,22,1,343,35,0,226,4,1,82,0,0,628,14,1,0,1,0,0,0,0,144,0,170,18,0,0,0,172,7422
7,2025,1,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,32167,599,129,14718,36,1,0,0,0,1321,195,4,1590,119,4,1136,90,1,357,4,1,2314,126,24,68,0,0,1,0,0,1668,0,786,30,0,0,0,377,57866
8,2025,1,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),12883,319,100,6594,25,3,0,0,0,473,66,4,738,107,5,667,6,0,230,6,2,1007,28,21,7,0,0,0,0,0,414,4,411,20,0,0,0,193,24333
9,2025,1,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,38138,1408,451,9746,29,3,0,0,0,2915,476,26,2205,238,110,1485,75,12,549,17,1,1596,18,52,48,4,0,3,0,0,1565,0,513,16,0,0,0,364,62063
10,2025,1,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,37095,993,389,9548,34,1,0,2,0,2138,326,1,1985,174,42,1452,95,3,520,16,1,1922,37,76,35,3,0,0,0,0,1914,0,555,13,0,0,0,391,59761
