_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2021,7,A2610,GALDAKAO - UPV/EHU,683,24,7,62,0,0,0,0,0,71,1,0,15,0,0,30,0,6,0,0,0,14,913
2,2021,7,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021,7,A3613,BILBAO - UGAO MIRABALLES - OROZKO,15796,293,154,7200,20,0,0,0,5,182,16,0,470,18,0,1815,4,613,15,0,0,328,26929
4,2021,7,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,5607,126,45,2017,8,0,0,0,0,84,9,0,145,18,0,539,0,231,5,0,0,100,8934
5,2021,7,A3631,BILBAO - GALDAKAO - LARRABETZU,14257,323,61,4106,4,0,0,0,0,293,41,26,396,21,5,1102,13,431,5,0,0,339,21423
6,2021,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),2513,23,16,908,6,0,0,0,0,158,0,0,56,14,0,219,0,86,8,0,0,128,4135
7,2021,7,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,22126,429,165,7982,20,2,0,0,0,463,25,15,351,16,1,2117,9,492,11,0,0,175,34399
8,2021,7,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),10301,166,51,3443,8,0,0,0,0,195,6,30,162,13,0,646,0,165,9,0,2,107,15304
9,2021,7,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,26088,840,288,6083,20,7,0,0,0,589,56,2,909,40,40,2390,5,435,7,0,0,224,38023
10,2021,7,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,25178,636,258,6256,14,16,0,0,0,491,46,6,1114,100,16,2345,5,464,3,0,0,236,37184
