_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
45,2024,7,A3122,BILBAO - SESTAO - Errepelega/Repelega,12964,281,94,4061,23,0,0,0,0,238,21,0,529,43,1,664,14,0,252,1,3,913,19,3,2,0,0,0,0,0,694,2,1055,49,0,0,0,458,22384
135,2024,8,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1088,30,10,30,0,0,0,0,0,25,0,0,7,0,0,81,1,0,43,0,0,30,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,12,1376
46,2024,7,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,67611,1418,426,21878,44,45,0,0,0,2455,129,5,4074,228,60,3010,80,4,1220,32,0,5724,217,43,20,0,2,0,0,0,3630,5,4505,154,0,0,0,2639,119658
47,2024,7,A3135,SESTAO - Cabieces,29748,516,91,14794,45,9,0,0,0,632,18,0,1020,33,10,1086,30,6,495,4,0,2080,46,22,6,0,0,0,0,0,1978,3,2395,57,0,0,0,1398,56522
48,2024,7,A3136,BILBAO - BARAKALDO - SANTURTZI,72002,1453,362,19969,92,56,1,0,0,2132,176,19,4616,350,173,3052,56,1,1500,51,3,6901,207,15,51,2,1,0,0,0,5155,9,4846,178,0,0,0,2342,125771
49,2024,7,A3137,BILBAO - BARAKALDO,20946,433,141,6817,67,2,0,0,0,471,16,2,809,28,0,1164,11,0,349,0,10,1691,143,5,3,0,0,0,0,0,1067,0,1408,70,0,0,0,880,36533
50,2024,7,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,23876,415,46,8896,40,0,0,0,0,693,42,0,1163,50,2,633,22,0,291,15,0,1366,88,0,11,0,0,0,0,0,1324,1,1452,59,0,0,0,1155,41640
51,2024,7,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),38860,923,173,7324,43,5,0,0,1,1008,60,0,1955,152,11,1763,34,0,630,14,2,3380,103,26,17,1,0,0,0,0,2296,4,1943,61,0,0,0,1222,62011
52,2024,7,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),13036,393,15,1767,14,0,0,0,0,350,6,0,320,1,0,1360,6,29,234,0,0,490,2,0,1,0,0,0,0,0,350,0,207,13,0,0,0,630,19224
53,2024,7,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,30418,774,83,9952,20,5,0,2,0,320,35,1,668,76,12,166,0,0,197,1,0,475,13,3,12,0,0,0,0,0,2083,4,1398,28,0,0,0,870,47616
