_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
1,2022,7,A2610,GALDAKAO - UPV/EHU,690,20,0,38,0,0,0,0,0,76,0,1,10,1,0,28,0,3,0,0,0,9,876
2,2022,7,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022,7,A3613,BILBAO - UGAO MIRABALLES - OROZKO,15836,567,80,8021,13,2,2,0,4,383,39,0,428,44,2,2285,31,699,24,0,0,332,28792
4,2022,7,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,5057,123,29,1728,9,1,0,0,0,89,3,0,123,3,72,675,0,292,0,0,0,97,8301
5,2022,7,A3631,BILBAO - GALDAKAO - LARRABETZU,14123,353,68,4091,10,2,0,0,0,391,64,38,444,39,3,1445,7,522,6,0,0,284,21890
6,2022,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),2785,49,4,982,3,0,0,0,0,92,1,2,67,21,7,331,0,115,1,0,0,111,4571
7,2022,7,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,21122,510,190,8469,47,4,0,0,0,526,30,1,458,17,5,2629,17,537,9,0,0,253,34824
8,2022,7,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),7927,140,17,3140,6,1,0,0,0,249,17,1,155,3,0,548,0,165,4,0,0,122,12495
9,2022,7,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,23671,697,232,6655,23,10,0,0,4,786,64,6,353,79,41,2999,2,469,4,0,0,219,36314
10,2022,7,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,23489,717,201,6169,38,26,0,0,0,682,52,27,323,61,16,3143,26,398,7,0,0,277,35652
