_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
237,2023,6,A3135,SESTAO - Cabieces,31639,717,231,14920,42,6,2,,1,633,38,19,823,57,9,2021,13,1983,72,0,0,1829,55055
238,2023,6,A3136,BILBAO - BARAKALDO - SANTURTZI,66065,1480,362,18623,111,50,1,,2,2151,251,10,3119,270,161,4018,21,3544,150,0,0,2667,103056
258,2023,6,A3334,SANTURTZI - BALMASEDA,3837,159,45,1263,0,1,0,1,1,61,4,0,90,4,1,357,2,68,4,0,0,122,6020
239,2023,6,A3137,BILBAO - BARAKALDO,20702,462,52,6127,144,4,1,,,428,44,5,680,35,1,927,2,1144,90,0,0,1110,31958
240,2023,6,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,24343,531,64,9203,24,2,,,2,1169,108,,1168,88,1,1256,3,1124,40,0,0,1312,40438
241,2023,6,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),39000,1066,143,6969,45,1,,,,1375,102,7,1490,142,19,2132,4,1403,53,0,0,1533,55484
242,2023,6,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),14974,376,28,1930,4,,,,,541,11,1,226,5,2,265,0,132,6,0,0,664,19165
243,2023,6,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,21746,612,98,6902,7,3,,,,570,63,,612,17,72,1397,0,659,19,0,0,709,33486
244,2023,6,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,3260,69,4,1731,3,1,,,,68,5,,121,8,,165,1,92,12,0,0,167,5707
245,2023,6,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,18824,471,50,5762,3,5,,,8,616,42,,752,116,,831,0,454,16,0,0,654,28604
