_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
492,2024,2024-07-25 08:00:13,A3336,BILBAO - MUSKIZ,Gabonak (25 -1),Festivo,1,29,29,15,15,14,14
330,2024,2024-07-25 08:00:13,A0651,BILBAO - BALMASEDA,Negua,Festivo,24,30,720,15,360,15,360
331,2024,2024-07-25 08:00:13,A0651,BILBAO - BALMASEDA,Negua,Laborable,117,60,7020,30,3510,30,3510
332,2024,2024-07-25 08:00:13,A0651,BILBAO - BALMASEDA,Negua,Sabado,23,32,736,16,368,16,368
333,2024,2024-07-25 08:00:13,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Festivo,7,30,210,15,105,15,105
334,2024,2024-07-25 08:00:13,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Laborable,8,60,480,30,240,30,240
335,2024,2024-07-25 08:00:13,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Sabado,2,32,64,16,32,16,32
336,2024,2024-07-25 08:00:13,A0651,BILBAO - BALMASEDA,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
337,2024,2024-07-25 08:00:13,A0652,LANESTOSA - BALMASEDA,Negua,Festivo,31,4,124,2,62,2,62
338,2024,2024-07-25 08:00:13,A0652,LANESTOSA - BALMASEDA,Negua,Laborable,125,14,1750,7,875,7,875
339,2024,2024-07-25 08:00:13,A0652,LANESTOSA - BALMASEDA,Negua,Sabado,25,4,100,2,50,2,50
340,2024,2024-07-25 08:00:13,A0652,LANESTOSA - BALMASEDA,Gabonak (25 -1),Festivo,1,4,4,2,2,2,2
341,2024,2024-07-25 08:00:13,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,Bakarra,Laborable,125,14,1750,7,875,7,875
342,2024,2024-07-25 08:00:13,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,Negua Instituturik gabe,Laborable,8,26,208,14,112,12,96
343,2024,2024-07-25 08:00:13,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Eskola-egunak,Laborable,97,26,2522,14,1358,12,1164
344,2024,2024-07-25 08:00:13,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Ez Eskolakoa,Laborable,20,26,520,14,280,12,240
345,2024,2024-07-25 08:00:13,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Festivo,11,16,176,8,88,8,88
346,2024,2024-07-25 08:00:13,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Laborable,28,35,980,18,504,17,476
