_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
404,2023,2023-07-25 08:00:06,A3135,SESTAO - Cabieces,Gabonak (25 -1),Festivo,1,60,60,29,29,31,31
329,2023,2023-07-25 08:00:06,A0651,BILBAO - BALMASEDA,Negua,Festivo,23,30,690,15,345,15,345
330,2023,2023-07-25 08:00:06,A0651,BILBAO - BALMASEDA,Negua,Laborable,117,60,7020,30,3510,30,3510
331,2023,2023-07-25 08:00:06,A0651,BILBAO - BALMASEDA,Negua,Sabado,22,32,704,16,352,16,352
332,2023,2023-07-25 08:00:06,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Festivo,7,30,210,15,105,15,105
333,2023,2023-07-25 08:00:06,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Laborable,8,60,480,30,240,30,240
334,2023,2023-07-25 08:00:06,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Sabado,3,32,96,16,48,16,48
335,2023,2023-07-25 08:00:06,A0651,BILBAO - BALMASEDA,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
336,2023,2023-07-25 08:00:06,A0652,LANESTOSA - BALMASEDA,Negua,Festivo,30,4,120,2,60,2,60
337,2023,2023-07-25 08:00:06,A0652,LANESTOSA - BALMASEDA,Negua,Laborable,125,14,1750,7,875,7,875
338,2023,2023-07-25 08:00:06,A0652,LANESTOSA - BALMASEDA,Negua,Sabado,25,4,100,2,50,2,50
339,2023,2023-07-25 08:00:06,A0652,LANESTOSA - BALMASEDA,Gabonak (25 -1),Festivo,1,4,4,2,2,2,2
340,2023,2023-07-25 08:00:06,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,Bakarra,Laborable,125,14,1750,7,875,7,875
341,2023,2023-07-25 08:00:06,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,Negua Instituturik gabe,Laborable,8,26,208,14,112,12,96
342,2023,2023-07-25 08:00:06,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Eskola-egunak,Laborable,97,26,2522,14,1358,12,1164
343,2023,2023-07-25 08:00:06,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Ez Eskolakoa,Laborable,20,26,520,14,280,12,240
344,2023,2023-07-25 08:00:06,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Festivo,10,16,160,8,80,8,80
345,2023,2023-07-25 08:00:06,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Laborable,28,35,980,18,504,17,476
346,2023,2023-07-25 08:00:06,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Sabado,6,16,96,8,48,8,48
347,2023,2023-07-25 08:00:06,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Festivo,20,16,320,8,160,8,160
348,2023,2023-07-25 08:00:06,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Laborable,97,35,3395,18,1746,17,1649
349,2023,2023-07-25 08:00:06,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Sabado,19,16,304,8,152,8,152
350,2023,2023-07-25 08:00:06,A2151,Areeta/Las Arenas - LARRABETZU,Gabonak (25 -1),Festivo,1,10,10,5,5,5,5
351,2023,2023-07-25 08:00:06,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Festivo,30,30,900,15,450,15,450
352,2023,2023-07-25 08:00:06,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Laborable,125,33,4125,16,2000,17,2125
353,2023,2023-07-25 08:00:06,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Sabado,25,32,800,16,400,16,400
354,2023,2023-07-25 08:00:06,A2153,BILBAO - Txorierri - LARRABETZU,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
355,2023,2023-07-25 08:00:06,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Festivo,23,27,621,14,322,13,299
356,2023,2023-07-25 08:00:06,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Laborable,117,60,7020,31,3627,29,3393
357,2023,2023-07-25 08:00:06,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Sabado,22,31,682,16,352,15,330
358,2023,2023-07-25 08:00:06,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Festivo,7,27,189,14,98,13,91
359,2023,2023-07-25 08:00:06,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Laborable,8,31,248,16,128,15,120
360,2023,2023-07-25 08:00:06,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Sabado,3,31,93,16,48,15,45
361,2023,2023-07-25 08:00:06,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
362,2023,2023-07-25 08:00:06,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),EHU Eskola-egunak,Laborable,117,26,3042,13,1521,13,1521
363,2023,2023-07-25 08:00:06,A2163,ERANDIO - UPV/EHU,EHU Eskola-egunak,Laborable,97,3,291,2,194,1,97
364,2023,2023-07-25 08:00:06,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),EHU Eskola-egunak,Laborable,97,6,582,4,388,2,194
365,2023,2023-07-25 08:00:06,A2166,Uribe Kosta - UPV/EHU,EHU Eskola-egunak,Laborable,97,13,1261,6,582,7,679
366,2023,2023-07-25 08:00:06,A2312,Zabalburu - UPV/EHU  (Juan de Garay),EHU Eskola-egunak,Laborable,117,19,2223,8,936,11,1287
367,2023,2023-07-25 08:00:06,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Eskola-egunak,Laborable,117,46,5382,23,2691,23,2691
368,2023,2023-07-25 08:00:06,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Eskola-egunak,Sabado,22,11,242,6,132,5,110
369,2023,2023-07-25 08:00:06,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Eskola-egunak,Laborable,97,24,2328,13,1261,11,1067
370,2023,2023-07-25 08:00:06,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Murriztua,Laborable,20,22,440,11,220,11,220
371,2023,2023-07-25 08:00:06,A2316,SESTAO - UPV/EHU,EHU Eskola-egunak,Laborable,97,10,970,5,485,5,485
372,2023,2023-07-25 08:00:06,A2318,Termibus - UPV/EHU (Autopista),EHU Eskola-egunak,Laborable,117,69,8073,35,4095,34,3978
373,2023,2023-07-25 08:00:06,A2321,Santutxu - UPV/EHU (Autopista),EHU Eskola-egunak,Lunes a Jueves,78,6,468,3,234,3,234
374,2023,2023-07-25 08:00:06,A2321,Santutxu - UPV/EHU (Autopista),EHU Eskola-egunak,Laborable,97,28,2716,14,1358,14,1358
375,2023,2023-07-25 08:00:06,A2321,Santutxu - UPV/EHU (Autopista),EHU Murriztua,Laborable,20,28,560,14,280,14,280
376,2023,2023-07-25 08:00:06,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Bakarra,Festivo,30,16,480,8,240,8,240
377,2023,2023-07-25 08:00:06,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Bakarra,Laborable,125,34,4250,17,2125,17,2125
378,2023,2023-07-25 08:00:06,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Bakarra,Sabado,25,32,800,16,400,16,400
379,2023,2023-07-25 08:00:06,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Gabonak (25 -1),Festivo,1,11,11,5,5,6,6
380,2023,2023-07-25 08:00:06,A2324,BILBAO - UPV/EHU (Enekuri),EHU Eskola-egunak,Laborable,97,12,1164,5,485,7,679
381,2023,2023-07-25 08:00:06,A2326,BARAKALDO - UPV/EHU,EHU Eskola-egunak,Laborable,97,22,2134,12,1164,10,970
382,2023,2023-07-25 08:00:06,A2326,BARAKALDO - UPV/EHU,EHU Murriztua,Laborable,20,21,420,11,220,10,200
383,2023,2023-07-25 08:00:06,A2336,MUSKIZ - UPV/EHU,EHU Eskola-egunak,Lunes a Jueves,78,10,780,4,312,6,468
384,2023,2023-07-25 08:00:06,A2336,MUSKIZ - UPV/EHU,EHU Eskola-egunak,Viernes,19,10,190,4,76,6,114
385,2023,2023-07-25 08:00:06,A2336,MUSKIZ - UPV/EHU,EHU Murriztua,Laborable,20,9,180,4,80,5,100
386,2023,2023-07-25 08:00:06,A2610,GALDAKAO - UPV/EHU,EHU Eskola-egunak,Laborable,97,24,2328,13,1261,11,1067
387,2023,2023-07-25 08:00:06,A2610,GALDAKAO - UPV/EHU,EHU Murriztua,Laborable,20,22,440,11,220,11,220
388,2023,2023-07-25 08:00:06,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,EHU Eskola-egunak,Laborable,97,10,970,5,485,5,485
389,2023,2023-07-25 08:00:06,A3115,BILBAO - SANTURTZI,Bakarra,Festivo,30,54,1620,27,810,27,810
390,2023,2023-07-25 08:00:06,A3115,BILBAO - SANTURTZI,Bakarra,Laborable,125,104,13000,52,6500,52,6500
391,2023,2023-07-25 08:00:06,A3115,BILBAO - SANTURTZI,Bakarra,Sabado,25,104,2600,52,1300,52,1300
392,2023,2023-07-25 08:00:06,A3115,BILBAO - SANTURTZI,Gabonak (25 -1),Festivo,1,40,40,20,20,20,20
393,2023,2023-07-25 08:00:06,A3122,BILBAO - SESTAO - Errepelega/Repelega,Bakarra,Festivo,30,32,960,16,480,16,480
394,2023,2023-07-25 08:00:06,A3122,BILBAO - SESTAO - Errepelega/Repelega,Bakarra,Laborable,125,34,4250,17,2125,17,2125
395,2023,2023-07-25 08:00:06,A3122,BILBAO - SESTAO - Errepelega/Repelega,Bakarra,Sabado,25,34,850,17,425,17,425
396,2023,2023-07-25 08:00:06,A3122,BILBAO - SESTAO - Errepelega/Repelega,Gabonak (25 -1),Festivo,1,20,20,10,10,10,10
397,2023,2023-07-25 08:00:06,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,Negua,Festivo,30,63,1890,32,960,31,930
