_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
333,2021,2021-09-15 08:37:19,A0652,LANESTOSA - BALMASEDA,Negua,Laborable,123,14,1722,7,861,7,861
328,2021,2021-09-15 08:37:19,A0651,BILBAO - BALMASEDA,Negua,Festivo,32,30,960,15,480,15,480
329,2021,2021-09-15 08:37:19,A0651,BILBAO - BALMASEDA,Negua,Laborable,123,60,7380,30,3690,30,3690
330,2021,2021-09-15 08:37:19,A0651,BILBAO - BALMASEDA,Negua,Sabado,25,32,800,16,400,16,400
331,2021,2021-09-15 08:37:19,A0651,BILBAO - BALMASEDA,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
332,2021,2021-09-15 08:37:19,A0652,LANESTOSA - BALMASEDA,Negua,Festivo,32,4,128,2,64,2,64
334,2021,2021-09-15 08:37:19,A0652,LANESTOSA - BALMASEDA,Negua,Sabado,25,4,100,2,50,2,50
335,2021,2021-09-15 08:37:19,A0652,LANESTOSA - BALMASEDA,Gabonak (25 -1),Festivo,1,4,4,2,2,2,2
336,2021,2021-09-15 08:37:19,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,Bakarra,Laborable,123,14,1722,7,861,7,861
337,2021,2021-09-15 08:37:19,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Eskola-egunak,Laborable,99,26,2574,14,1386,12,1188
338,2021,2021-09-15 08:37:19,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Ez Eskolakoa,Laborable,24,26,624,14,336,12,288
339,2021,2021-09-15 08:37:19,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Festivo,10,16,160,8,80,8,80
340,2021,2021-09-15 08:37:19,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Laborable,24,35,840,18,432,17,408
341,2021,2021-09-15 08:37:19,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Sabado,6,16,96,8,48,8,48
342,2021,2021-09-15 08:37:19,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Festivo,22,16,352,8,176,8,176
343,2021,2021-09-15 08:37:19,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Laborable,99,35,3465,18,1782,17,1683
344,2021,2021-09-15 08:37:19,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Sabado,19,16,304,8,152,8,152
345,2021,2021-09-15 08:37:19,A2151,Areeta/Las Arenas - LARRABETZU,Gabonak (25 -1),Festivo,1,10,10,5,5,5,5
346,2021,2021-09-15 08:37:19,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Festivo,10,30,300,15,150,15,150
347,2021,2021-09-15 08:37:19,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Laborable,39,33,1287,16,624,17,663
348,2021,2021-09-15 08:37:19,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Sabado,9,32,288,16,144,16,144
408,2021,2021-09-15 08:37:19,A3135,SESTAO - Cabieces,Gabonak (25 -1),Festivo,1,60,60,29,29,31,31
349,2021,2021-09-15 08:37:19,A2153,BILBAO - Txorierri - LARRABETZU,Negua - (M1),Festivo,22,30,660,15,330,15,330
350,2021,2021-09-15 08:37:19,A2153,BILBAO - Txorierri - LARRABETZU,Negua - (M1),Laborable,84,33,2772,16,1344,17,1428
351,2021,2021-09-15 08:37:19,A2153,BILBAO - Txorierri - LARRABETZU,Negua - (M1),Sabado,16,32,512,16,256,16,256
352,2021,2021-09-15 08:37:19,A2153,BILBAO - Txorierri - LARRABETZU,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
353,2021,2021-09-15 08:37:19,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Festivo,25,27,675,14,350,13,325
393,2021,2021-09-15 08:37:19,A3115,BILBAO - SANTURTZI,Bakarra,Festivo,32,54,1728,27,864,27,864
354,2021,2021-09-15 08:37:19,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Laborable,117,62,7254,32,3744,30,3510
355,2021,2021-09-15 08:37:19,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Sabado,22,31,682,16,352,15,330
356,2021,2021-09-15 08:37:19,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Festivo,7,27,189,14,98,13,91
357,2021,2021-09-15 08:37:19,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Laborable,6,31,186,16,96,15,90
358,2021,2021-09-15 08:37:19,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Sabado,3,31,93,16,48,15,45
359,2021,2021-09-15 08:37:19,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
360,2021,2021-09-15 08:37:19,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),EHU Eskola-egunak,Laborable,117,26,3042,13,1521,13,1521
361,2021,2021-09-15 08:37:19,A2163,ERANDIO - UPV/EHU,EHU Eskola-egunak,Laborable,99,4,396,3,297,1,99
362,2021,2021-09-15 08:37:19,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),EHU Eskola-egunak,Laborable,99,7,693,5,495,2,198
363,2021,2021-09-15 08:37:19,A2166,Uribe Kosta - UPV/EHU,EHU Eskola-egunak,Laborable,99,13,1287,6,594,7,693
364,2021,2021-09-15 08:37:19,A2312,Zabalburu - UPV/EHU  (Juan de Garay),EHU Eskola-egunak,Laborable,117,19,2223,8,936,11,1287
365,2021,2021-09-15 08:37:19,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Eskola-egunak,Laborable,117,46,5382,23,2691,23,2691
366,2021,2021-09-15 08:37:19,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Eskola-egunak,Sabado,22,11,242,6,132,5,110
367,2021,2021-09-15 08:37:19,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Murriztua,Laborable,6,22,132,11,66,11,66
368,2021,2021-09-15 08:37:19,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Eskola-egunak,Laborable,99,24,2376,13,1287,11,1089
369,2021,2021-09-15 08:37:19,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Murriztua,Laborable,18,22,396,11,198,11,198
370,2021,2021-09-15 08:37:19,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Ez Eskolakoa,Laborable,6,6,36,3,18,3,18
371,2021,2021-09-15 08:37:19,A2316,SESTAO - UPV/EHU,EHU Eskola-egunak,Laborable,99,10,990,5,495,5,495
372,2021,2021-09-15 08:37:19,A2318,Termibus - UPV/EHU (Autopista),EHU Eskola-egunak,Laborable,117,69,8073,35,4095,34,3978
373,2021,2021-09-15 08:37:19,A2318,Termibus - UPV/EHU (Autopista),EHU Murriztua,Laborable,6,23,138,12,72,11,66
374,2021,2021-09-15 08:37:19,A2321,Santutxu - UPV/EHU (Autopista),EHU Eskola-egunak,Lunes a Jueves,80,6,480,3,240,3,240
375,2021,2021-09-15 08:37:19,A2321,Santutxu - UPV/EHU (Autopista),EHU Eskola-egunak,Laborable,99,28,2772,14,1386,14,1386
376,2021,2021-09-15 08:37:19,A2321,Santutxu - UPV/EHU (Autopista),EHU Murriztua,Laborable,18,28,504,14,252,14,252
377,2021,2021-09-15 08:37:19,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Negua,Festivo,25,32,800,16,400,16,400
378,2021,2021-09-15 08:37:19,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Negua,Laborable,117,34,3978,17,1989,17,1989
379,2021,2021-09-15 08:37:19,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Negua,Sabado,22,32,704,16,352,16,352
380,2021,2021-09-15 08:37:19,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Negua Instituturik gabe,Festivo,7,32,224,16,112,16,112
381,2021,2021-09-15 08:37:19,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Negua Instituturik gabe,Laborable,6,34,204,17,102,17,102
382,2021,2021-09-15 08:37:19,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Negua Instituturik gabe,Sabado,3,32,96,16,48,16,48
383,2021,2021-09-15 08:37:19,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Gabonak (25 -1),Festivo,1,20,20,10,10,10,10
