_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
401,2025,2025-10-25 08:00:24,A0651,BILBAO - BALMASEDA,Negua,Festivo,28,30,840,15,420,15,420
402,2025,2025-10-25 08:00:24,A0651,BILBAO - BALMASEDA,Negua,Laborable,139,64,8896,32,4448,32,4448
403,2025,2025-10-25 08:00:24,A0651,BILBAO - BALMASEDA,Negua,Sabado,27,32,864,16,432,16,432
404,2025,2025-10-25 08:00:24,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Festivo,19,30,570,15,285,15,285
405,2025,2025-10-25 08:00:24,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Laborable,47,64,3008,32,1504,32,1504
406,2025,2025-10-25 08:00:24,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Sabado,12,32,384,16,192,16,192
407,2025,2025-10-25 08:00:24,A0651,BILBAO - BALMASEDA,Gabonak (25 -1),Festivo,1,19,19,10,10,9,9
408,2025,2025-10-25 08:00:24,A0652,LANESTOSA - BALMASEDA,Negua,Festivo,35,4,140,2,70,2,70
409,2025,2025-10-25 08:00:24,A0652,LANESTOSA - BALMASEDA,Negua,Laborable,145,14,2030,7,1015,7,1015
410,2025,2025-10-25 08:00:24,A0652,LANESTOSA - BALMASEDA,Negua,Sabado,30,4,120,2,60,2,60
411,2025,2025-10-25 08:00:24,A0652,LANESTOSA - BALMASEDA,Negua Instituturik gabe,Festivo,12,6,72,3,36,3,36
