_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
949,2022,2022-10-25 08:00:05,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,Bakarra,Sabado,38,61,2318,30,1140,31,1178
950,2022,2022-10-25 08:00:05,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,Gabonak (25 -1),Festivo,1,18,18,8,8,10,10
951,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda,Festivo,13,43,559,21,273,22,286
952,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda,Laborable,50,43,2150,21,1050,22,1100
953,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda,Sabado,10,43,430,21,210,22,220
954,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda (Aurre - Gero),Festivo,4,43,172,21,84,22,88
955,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda (Aurre - Gero),Sabado,4,43,172,21,84,22,88
956,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda Ekaina,Festivo,4,43,172,21,84,22,88
957,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda Ekaina,Laborable,13,20,260,10,130,10,130
958,2022,2022-10-25 08:00:05,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,Uda Ekaina,Sabado,3,43,129,21,63,22,66
959,2022,2022-10-25 08:00:05,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),Negua,Laborable,187,31,5797,16,2992,15,2805
960,2022,2022-10-25 08:00:05,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),Negua,Sabado,38,31,1178,16,608,15,570
961,2022,2022-10-25 08:00:05,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,Bakarra,Festivo,47,10,470,5,235,5,235
962,2022,2022-10-25 08:00:05,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,Bakarra,Laborable,187,14,2618,7,1309,7,1309
963,2022,2022-10-25 08:00:05,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,Bakarra,Sabado,38,10,380,5,190,5,190
964,2022,2022-10-25 08:00:05,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,Gabonak (25 -1),Festivo,1,6,6,3,3,3,3
965,2022,2022-10-25 08:00:05,A3342,BILBAO - Sodupe - ARTZINIEGA,Bakarra,Festivo,47,16,752,8,376,8,376
966,2022,2022-10-25 08:00:05,A3342,BILBAO - Sodupe - ARTZINIEGA,Bakarra,Laborable,187,34,6358,17,3179,17,3179
967,2022,2022-10-25 08:00:05,A3342,BILBAO - Sodupe - ARTZINIEGA,Bakarra,Sabado,38,32,1216,16,608,16,608
968,2022,2022-10-25 08:00:05,A3342,BILBAO - Sodupe - ARTZINIEGA,Gabonak (25 -1),Festivo,1,10,10,5,5,5,5
969,2022,2022-10-25 08:00:05,A3343,BILBAO - Sodupe - GORDEXOLA,Bakarra,Laborable,187,17,3179,9,1683,8,1496
970,2022,2022-10-25 08:00:05,A3411,BILBAO - GETXO - Azkorri,Negua,Festivo,32,61,1952,31,992,30,960
971,2022,2022-10-25 08:00:05,A3411,BILBAO - GETXO - Azkorri,Negua,Laborable,127,68,8636,36,4572,32,4064
972,2022,2022-10-25 08:00:05,A3411,BILBAO - GETXO - Azkorri,Negua,Sabado,26,61,1586,31,806,30,780
973,2022,2022-10-25 08:00:05,A3411,BILBAO - GETXO - Azkorri,Uda,Festivo,15,60,900,31,465,29,435
974,2022,2022-10-25 08:00:05,A3411,BILBAO - GETXO - Azkorri,Uda,Laborable,60,65,3900,33,1980,32,1920
975,2022,2022-10-25 08:00:05,A3411,BILBAO - GETXO - Azkorri,Uda,Sabado,12,60,720,31,372,29,348
976,2022,2022-10-25 08:00:05,A3411,BILBAO - GETXO - Azkorri,Gabonak (25 -1),Festivo,1,38,38,20,20,18,18
977,2022,2022-10-25 08:00:05,A3414,BILBAO - GETXO (Artxandako tuneletatik/por t̼neles de Artxanda),Negua,Festivo,38,32,1216,16,608,16,608
978,2022,2022-10-25 08:00:05,A3414,BILBAO - GETXO (Artxandako tuneletatik/por t̼neles de Artxanda),Negua,Laborable,156,96,14976,48,7488,48,7488
979,2022,2022-10-25 08:00:05,A3414,BILBAO - GETXO (Artxandako tuneletatik/por t̼neles de Artxanda),Negua,Sabado,31,32,992,16,496,16,496
1102,2022,2022-10-25 08:00:05,A3533,GERNIKA LUMO - MENDATA,Bakarra,Laborable,187,6,1122,2,374,4,748
980,2022,2022-10-25 08:00:05,A3414,BILBAO - GETXO (Artxandako tuneletatik/por t̼neles de Artxanda),Uda,Festivo,9,32,288,16,144,16,144
981,2022,2022-10-25 08:00:05,A3414,BILBAO - GETXO (Artxandako tuneletatik/por t̼neles de Artxanda),Uda,Laborable,31,65,2015,33,1023,32,992
982,2022,2022-10-25 08:00:05,A3414,BILBAO - GETXO (Artxandako tuneletatik/por t̼neles de Artxanda),Uda,Sabado,7,32,224,16,112,16,112
983,2022,2022-10-25 08:00:05,A3414,BILBAO - GETXO (Artxandako tuneletatik/por t̼neles de Artxanda),Gabonak (25 -1),Festivo,1,21,21,11,11,10,10
